LEADER_PERCENTILE,LEADER_RANK,METRIC,NUM_COMPETITORS,PUBLIC_ERROR,SCORE,STATUS,dataset,fold,framework,metric_error,metric_score,problem_type,time_train_s
0.50400782,2578.0,AUC,5115,0.16516,0.82425,,santander-customer-satisfaction,0,TPOT_4h,0.17575,-0.17575,binary,17594.700969999998
0.68457808,3529.0,Gini,5155,0.73041,0.27421999999999996,,porto-seguro-safe-driver-prediction,0,TPOT_4h,0.72578,-0.72578,binary,62705.55892999999
0.620325983,647.0,Log-Loss,1043,2.17519,2.17172,,walmart-recruiting-trip-type-classification,0,TPOT_4h,2.17172,-2.17172,multiclass,17457.684530000002
0.402282454,1410.0,Log-Loss,3505,0.50444,0.50544,,otto-group-product-classification-challenge,0,TPOT_4h,0.50544,-0.50544,multiclass,22174.27927
0.25983146100000004,1295.0,RMSLE,4984,0.12185,0.12185,,house-prices-advanced-regression-techniques,0,TPOT_8h,0.12185,-0.12185,regression,30491.17887
0.691954023,2107.0,MAE,3045,1172.91893,1186.5058199999999,,allstate-claims-severity,0,TPOT_8h,1186.5058199999999,-1186.5058199999999,regression,32163.330469999997
0.458660387,1753.0,R2,3822,0.44611999999999996,0.54724,,mercedes-benz-greener-manufacturing,0,TPOT_8h,0.45276000000000005,-0.45276000000000005,regression,32983.16179
0.674512441,3009.0,RMSLE,4461,1.4973100000000001,1.44382,,santander-value-prediction-challenge,0,TPOT_8h,1.44382,-1.44382,regression,21543.25213
0.488356164,1426.0,Log-Loss,2920,0.45947,0.4578,,bnp-paribas-cardif-claims-management,0,TPOT_8h,0.4578,-0.4578,binary,32107.98871
0.673676992,5894.0,AUC,8749,0.11150999999999998,0.88764,,santander-customer-transaction-prediction,0,TPOT_8h,0.11235999999999999,-0.11235999999999999,binary,39275.29503
0.513391984,2626.0,AUC,5115,0.1655,0.82419,,santander-customer-satisfaction,0,TPOT_8h,0.17581,-0.17581,binary,11037.487079999999
0.677594568,3493.0,Gini,5155,0.72836,0.2749,,porto-seguro-safe-driver-prediction,0,TPOT_8h,0.7251,-0.7251,binary,61622.15689
0.620325983,647.0,Log-Loss,1043,2.16985,2.16655,,walmart-recruiting-trip-type-classification,0,TPOT_8h,2.16655,-2.16655,multiclass,34211.94622
0.402282454,1410.0,Log-Loss,3505,0.50444,0.50544,,otto-group-product-classification-challenge,0,TPOT_8h,0.50544,-0.50544,multiclass,31534.3595
0.42114767299999994,2099.0,RMSLE,4984,0.13241,0.13241,,house-prices-advanced-regression-techniques,0,H2OAutoML_4h,0.13241,-0.13241,regression,11435.77779
0.6476190479999999,1972.0,MAE,3045,1165.3917900000001,1171.9561199999998,,allstate-claims-severity,0,H2OAutoML_4h,1171.9561199999998,-1171.9561199999998,regression,14467.79204
0.6360544220000001,2431.0,R2,3822,0.44924,0.54357,,mercedes-benz-greener-manufacturing,0,H2OAutoML_4h,0.45643,-0.45643,regression,12168.29212
0.622057835,2775.0,RMSLE,4461,1.49019,1.42159,,santander-value-prediction-challenge,0,H2OAutoML_4h,1.42159,-1.42159,regression,14445.80171
0.582191781,1700.0,Log-Loss,2920,0.46388,0.46085,,bnp-paribas-cardif-claims-management,0,H2OAutoML_4h,0.46085,-0.46085,binary,14507.990230000001
0.259042033,1325.0,AUC,5115,0.1606,0.82594,,santander-customer-satisfaction,0,H2OAutoML_4h,0.17406,-0.17406,binary,13984.46203
0.593210475,3058.0,Gini,5155,0.72747,0.28047,,porto-seguro-safe-driver-prediction,0,H2OAutoML_4h,0.71953,-0.71953,binary,14532.05452
