acc,auc,dataset,fold,framework,id,info,logloss,metric_error,metric_score,mode,models,models_ensemble,params,problem_type,seed,tag,time_infer_s,time_train_s,utc,version
0.995,0.994625,APSFailure,0,autogluon_noknn_1h,openml.org/t/168868,,,0.005375000000000019,0.994625,local,9.0,9.0,,binary,1008495412,stable,0.8593540000000001,250.7,2020-02-03T08:44:27,0.0.5
0.8695649999999999,0.936333,Australian,0,autogluon_noknn_1h,openml.org/t/146818,,,0.06366700000000003,0.936333,local,9.0,9.0,,binary,2127538343,stable,0.0221117,10.2,2020-02-03T08:38:45,0.0.5
0.910438,0.939393,bank-marketing,0,autogluon_noknn_1h,openml.org/t/14965,,,0.060606999999999966,0.939393,local,9.0,9.0,,binary,3204549899,stable,0.743634,414.4,2020-02-03T08:46:49,0.0.5
0.746667,0.7792399999999999,blood-transfusion,0,autogluon_noknn_1h,openml.org/t/10101,,,0.22076000000000007,0.7792399999999999,local,9.0,9.0,,binary,2692178068,stable,0.127555,11.8,2020-02-03T08:38:50,0.0.5
1.0,,car,0,autogluon_noknn_1h,openml.org/t/146821,,0.0012724,0.0012724,0.0012724,local,9.0,9.0,,multiclass,3141301874,stable,0.0530331,77.8,2020-02-03T08:40:02,0.0.5
0.7398520000000001,0.834575,christine,0,autogluon_noknn_1h,openml.org/t/168908,,,0.16542500000000004,0.834575,local,9.0,9.0,,binary,1581244690,stable,1.96313,176.9,2020-02-03T08:42:42,0.0.5
0.944444,,cnae-9,0,autogluon_noknn_1h,openml.org/t/9981,,0.192996,0.192996,0.192996,local,9.0,9.0,,multiclass,1068572666,stable,2.01985,58.5,2020-02-03T08:39:58,0.0.5
0.867081,,connect-4,0,autogluon_noknn_1h,openml.org/t/146195,,0.344518,0.344518,0.344518,local,9.0,9.0,,multiclass,298669168,stable,2.5714,640.0,2020-02-03T08:50:53,0.0.5
0.949365,,Covertype,0,autogluon_noknn_1h,openml.org/t/7593,,0.133177,0.133177,0.133177,local,6.0,6.0,,multiclass,974819408,stable,10.4402,3635.0,2020-02-03T09:44:31,0.0.5
0.79,0.822381,credit-g,0,autogluon_noknn_1h,openml.org/t/31,,,0.17761899999999997,0.822381,local,9.0,9.0,,binary,4010085375,stable,0.568233,17.4,2020-02-03T08:39:13,0.0.5
0.987,,dilbert,0,autogluon_noknn_1h,openml.org/t/168909,,0.0554656,0.0554656,0.0554656,local,8.0,8.0,,multiclass,404210653,stable,0.981189,3608.8,2020-02-03T09:41:26,0.0.5
0.917081,,Dionis,0,autogluon_noknn_1h,openml.org/t/189355,,0.336247,0.336247,0.336247,local,4.0,4.0,,multiclass,953161407,stable,5.28626,3632.3,2020-02-03T09:50:15,0.0.5
0.735437,,fabert,0,autogluon_noknn_1h,openml.org/t/168910,,0.717101,0.717101,0.717101,local,9.0,9.0,,multiclass,888142142,stable,1.02064,386.1,2020-02-03T08:46:04,0.0.5
0.910429,,Fashion-MNIST,0,autogluon_noknn_1h,openml.org/t/146825,,0.247463,0.247463,0.247463,local,9.0,9.0,,multiclass,750389679,stable,3.1649,3612.2,2020-02-03T09:43:23,0.0.5
0.846,0.914454,guiellermo,0,autogluon_noknn_1h,openml.org/t/168337,,,0.08554600000000001,0.914454,local,9.0,9.0,,binary,2095918596,stable,4.35049,1238.0,2020-02-03T09:18:12,0.0.5
0.402301,,Helena,0,autogluon_noknn_1h,openml.org/t/168329,,2.47111,2.47111,2.47111,local,5.0,5.0,,multiclass,823980733,stable,10.0691,1107.7,2020-02-03T08:59:24,0.0.5
0.738603,0.816071,higgs,0,autogluon_noknn_1h,openml.org/t/146606,,,0.183929,0.816071,local,9.0,9.0,,binary,1786092961,stable,1.6893599999999998,337.6,2020-02-03T08:45:59,0.0.5
0.721877,,Jannis,0,autogluon_noknn_1h,openml.org/t/168330,,0.674921,0.674921,0.674921,local,9.0,9.0,,multiclass,2759693440,stable,1.06662,399.3,2020-02-03T08:47:27,0.0.5
0.819398,0.870425,jasmine,0,autogluon_noknn_1h,openml.org/t/168911,,,0.129575,0.870425,local,9.0,9.0,,binary,2210991265,stable,0.661269,22.1,2020-02-03T08:39:39,0.0.5
0.962963,,jungle_chess_2pcs_raw_endgame_complete,0,autogluon_noknn_1h,openml.org/t/167119,,0.0709173,0.0709173,0.0709173,local,9.0,9.0,,multiclass,1657726866,stable,0.221909,1251.6,2020-02-03T09:01:10,0.0.5
0.881517,0.843139,kc1,0,autogluon_noknn_1h,openml.org/t/3917,,,0.15686100000000003,0.843139,local,9.0,9.0,,binary,4067363964,stable,0.407292,14.9,2020-02-03T08:39:29,0.0.5
0.9822,0.8393700000000001,KDDCup09_appetency,0,autogluon_noknn_1h,openml.org/t/3945,,,0.16062999999999994,0.8393700000000001,local,9.0,9.0,,binary,2881898702,stable,10.214,1385.8,2020-02-03T09:04:18,0.0.5
0.99375,0.999922,kr-vs-kp,0,autogluon_noknn_1h,openml.org/t/3,,,7.80000000000225e-05,0.999922,local,9.0,9.0,,binary,2951582175,stable,0.109295,36.2,2020-02-03T08:39:50,0.0.5
0.97,,mfeat-factors,0,autogluon_noknn_1h,openml.org/t/12,,0.0835921,0.0835921,0.0835921,local,9.0,9.0,,multiclass,2504410689,stable,0.433358,257.0,2020-02-03T08:43:32,0.0.5
0.947413,0.986765,MiniBooNE,0,autogluon_noknn_1h,openml.org/t/168335,,,0.013234999999999997,0.986765,local,9.0,9.0,,binary,2012873269,stable,2.62878,556.3,2020-02-03T08:50:04,0.0.5
0.975051,0.996024,nomao,0,autogluon_noknn_1h,openml.org/t/9977,,,0.0039759999999999796,0.996024,local,9.0,9.0,,binary,2825652321,stable,0.732926,106.1,2020-02-03T08:42:25,0.0.5
