DATASET,MODEL_NAME,METRIC_ERROR,TIME_TRAIN_S,PUBLIC_ERROR,METRIC,PROBLEM_TYPE,STATUS,SCORE,LEADER_RANK,NUM_COMPETITORS,LEADER_PERCENTILE
porto-seguro-safe-driver-prediction,autogluon_8h,0.71736,20925.96211,0.72276,Gini,binary,,0.28264,2733,5155,0.530164888
porto-seguro-safe-driver-prediction,autosklearn_4h,0.72448,14398.6626,0.7295,Gini,binary,,0.27552,3445,5155,0.66828322
porto-seguro-safe-driver-prediction,autosklearn_8h,0.7223,28797.60239,0.7284,Gini,binary,,0.2777,3304,5155,0.640931135
porto-seguro-safe-driver-prediction,AutoWEKA_4h,0.75926,12639.58404,0.75858,Gini,binary,,0.24074,4337,5155,0.841319108
porto-seguro-safe-driver-prediction,AutoWEKA_8h,0.75926,25055.14108,0.75858,Gini,binary,,0.24074,4337,5155,0.841319108
porto-seguro-safe-driver-prediction,TPOT_4h,0.72578,62705.55893,0.73041,Gini,binary,,0.27422,3529,5155,0.68457808
porto-seguro-safe-driver-prediction,TPOT_8h,0.7251,61622.15689,0.72836,Gini,binary,,0.2749,3493,5155,0.677594568
porto-seguro-safe-driver-prediction,H2OAutoML_4h,0.71953,14532.05452,0.72747,Gini,binary,,0.28047,3058,5155,0.593210475
porto-seguro-safe-driver-prediction,H2OAutoML_8h,0.72025,28795.39695,0.72511,Gini,binary,,0.27975,3142,5155,0.609505335
porto-seguro-safe-driver-prediction,GoogleAutoMLTables_4h,0.71834,14450.54514,0.72196,Gini,binary,,0.28166,2916,5155,0.565664403
porto-seguro-safe-driver-prediction,GoogleAutoMLTables_8h,0.71825,16320.04549,0.7223,Gini,binary,,0.28175,2894,5155,0.561396702
ieee-fraud-detection,autogluon_4h,0.099586,13862.6683,0.071401,AUC,binary,,0.900414,4302,6348,0.677693762
ieee-fraud-detection,autogluon_8h,0.102215,28962.41579,0.07016,AUC,binary,,0.897785,4438,6348,0.699117832
ieee-fraud-detection,autosklearn_4h,0.09763,14407.79361,0.073937,AUC,binary,,0.90237,4131,6348,0.650756144
ieee-fraud-detection,autosklearn_8h,0.099042,28805.7653,0.072656,AUC,binary,,0.900958,4273,6348,0.673125394
ieee-fraud-detection,AutoWEKA_4h,0.227479,17219.53478,0.199978,AUC,binary,,0.772521,5588,6348,0.880277253
ieee-fraud-detection,AutoWEKA_8h,0.229694,32257.97635,0.200412,AUC,binary,,0.770306,5593,6348,0.881064902
ieee-fraud-detection,TPOT_4h,,,,AUC,binary,Failed,,,6348,
ieee-fraud-detection,TPOT_8h,,,,AUC,binary,Failed,,,6348,
ieee-fraud-detection,H2OAutoML_4h,,,,AUC,binary,Failed,,,6348,
ieee-fraud-detection,H2OAutoML_8h,,,,AUC,binary,Failed,,,6348,
ieee-fraud-detection,GoogleAutoMLTables_4h,0.22921,17217.43244,0.212755,AUC,binary,,0.77079,5591,6348,0.880749842
ieee-fraud-detection,GoogleAutoMLTables_8h,0.228123,32516.37662,0.210115,AUC,binary,,0.771877,5589,6348,0.880434783
walmart-recruiting-trip-type-classification,autogluon_4h,2.09037,16772.66213,2.09354,Log-Loss,multiclass,,2.09037,642,1043,0.615532119
walmart-recruiting-trip-type-classification,autogluon_8h,2.03385,29581.23691,2.0343,Log-Loss,multiclass,,2.03385,633,1043,0.606903164
walmart-recruiting-trip-type-classification,autosklearn_4h,2.06458,14417.00017,2.06697,Log-Loss,multiclass,,2.06458,636,1043,0.609779482
walmart-recruiting-trip-type-classification,autosklearn_8h,2.04463,28826.04106,2.0471,Log-Loss,multiclass,,2.04463,634,1043,0.607861937
walmart-recruiting-trip-type-classification,AutoWEKA_4h,,,,Log-Loss,multiclass,Failed,,,1043,
walmart-recruiting-trip-type-classification,AutoWEKA_8h,,,,Log-Loss,multiclass,Failed,,,1043,
walmart-recruiting-trip-type-classification,TPOT_4h,2.17172,17457.68453,2.17519,Log-Loss,multiclass,,2.17172,647,1043,0.620325983
walmart-recruiting-trip-type-classification,TPOT_8h,2.16655,34211.94622,2.16985,Log-Loss,multiclass,,2.16655,647,1043,0.620325983
walmart-recruiting-trip-type-classification,H2OAutoML_4h,,,,Log-Loss,multiclass,Failed,,,1043,
walmart-recruiting-trip-type-classification,H2OAutoML_8h,,,,Log-Loss,multiclass,Failed,,,1043,
walmart-recruiting-trip-type-classification,GoogleAutoMLTables_4h,1.99299,14147.11984,1.99525,Log-Loss,multiclass,,1.99299,627,1043,0.601150527
walmart-recruiting-trip-type-classification,GoogleAutoMLTables_8h,1.99738,28786.21424,1.99845,Log-Loss,multiclass,,1.99738,628,1043,0.6021093
otto-group-product-classification-challenge,autogluon_4h,0.40993,12993.59437,0.40689,Log-Loss,multiclass,,0.40993,42,3505,0.011982882
otto-group-product-classification-challenge,autogluon_8h,0.40958,25649.96469,0.40665,Log-Loss,multiclass,,0.40958,41,3505,0.011697575
otto-group-product-classification-challenge,autosklearn_4h,0.46772,14403.74253,0.46681,Log-Loss,multiclass,,0.46772,991,3505,0.282738944
otto-group-product-classification-challenge,autosklearn_8h,0.4672,28800.71906,0.46623,Log-Loss,multiclass,,0.4672,986,3505,0.281312411
otto-group-product-classification-challenge,AutoWEKA_4h,5.438,15913.6202,5.42726,Log-Loss,multiclass,,5.438,2995,3505,0.854493581
otto-group-product-classification-challenge,AutoWEKA_8h,5.438,29739.85344,5.42726,Log-Loss,multiclass,,5.438,2995,3505,0.854493581
otto-group-product-classification-challenge,TPOT_4h,0.50544,22174.27927,0.50444,Log-Loss,multiclass,,0.50544,1410,3505,0.402282454
otto-group-product-classification-challenge,TPOT_8h,0.50544,31534.3595,0.50444,Log-Loss,multiclass,,0.50544,1410,3505,0.402282454
otto-group-product-classification-challenge,H2OAutoML_4h,0.46425,14421.30359,0.46348,Log-Loss,multiclass,,0.46425,948,3505,0.270470756
otto-group-product-classification-challenge,H2OAutoML_8h,0.45281,28828.83952,0.45197,Log-Loss,multiclass,,0.45281,730,3505,0.208273894
otto-group-product-classification-challenge,GoogleAutoMLTables_4h,0.44682,8309.619111,0.44555,Log-Loss,multiclass,,0.44682,626,3505,0.178601997
otto-group-product-classification-challenge,GoogleAutoMLTables_8h,0.43506,30887.44702,0.43268,Log-Loss,multiclass,,0.43506,408,3505,0.116405136
