id,task,framework,fold,result,mode,version,params,tag,utc,duration,models,seed,info,acc,models_ensemble,predict_duration
openml.org/t/168868,APSFailure,AutoPilot,8,,local,1.0,,stable,2020-02-04T17:45:28,8.3,,2106399556,AssertionError: config.fold must be 0 when running AutoPilot! Value: 8,,,
openml.org/t/168868,APSFailure,AutoPilot,9,,local,1.0,,stable,2020-02-04T17:45:37,8.3,,2106399557,AssertionError: config.fold must be 0 when running AutoPilot! Value: 9,,,
openml.org/t/146818,Australian,AutoPilot,0,,local,1.0,,stable,2020-02-04T03:06:57,265.3,,444255207,AssertionError: Could not complete the data builder processing job. The AutoML Job cannot continue. Failed Job Arn: arn:aws:sagemaker:us-east-1:397262719838:processing-job/db-1-67eca54e65a54a5185a7...,,,
openml.org/t/146818,Australian,AutoPilot,1,,local,1.0,,stable,2020-02-04T03:06:57,0.0,,444255208,AssertionError: config.fold must be 0 when running AutoPilot! Value: 1,,,
openml.org/t/146818,Australian,AutoPilot,2,,local,1.0,,stable,2020-02-04T03:06:57,0.0,,444255209,AssertionError: config.fold must be 0 when running AutoPilot! Value: 2,,,
openml.org/t/146818,Australian,AutoPilot,3,,local,1.0,,stable,2020-02-04T03:06:57,0.0,,444255210,AssertionError: config.fold must be 0 when running AutoPilot! Value: 3,,,
openml.org/t/146818,Australian,AutoPilot,4,,local,1.0,,stable,2020-02-04T03:06:57,0.0,,444255211,AssertionError: config.fold must be 0 when running AutoPilot! Value: 4,,,
openml.org/t/146818,Australian,AutoPilot,5,,local,1.0,,stable,2020-02-04T03:06:57,0.0,,444255212,AssertionError: config.fold must be 0 when running AutoPilot! Value: 5,,,
openml.org/t/146818,Australian,AutoPilot,6,,local,1.0,,stable,2020-02-04T03:06:57,0.0,,444255213,AssertionError: config.fold must be 0 when running AutoPilot! Value: 6,,,
openml.org/t/146818,Australian,AutoPilot,7,,local,1.0,,stable,2020-02-04T03:06:57,0.0,,444255214,AssertionError: config.fold must be 0 when running AutoPilot! Value: 7,,,
openml.org/t/146818,Australian,AutoPilot,8,,local,1.0,,stable,2020-02-04T03:06:57,0.0,,444255215,AssertionError: config.fold must be 0 when running AutoPilot! Value: 8,,,
openml.org/t/146818,Australian,AutoPilot,9,,local,1.0,,stable,2020-02-04T03:06:57,0.0,,444255216,AssertionError: config.fold must be 0 when running AutoPilot! Value: 9,,,
openml.org/t/14965,bank-marketing,AutoPilot,0,0.9051299999999999,local,1.0,,stable,2020-02-04T05:27:00,3666.6,10.0,543165786,,0.9051299999999999,1.0,270.634
openml.org/t/14965,bank-marketing,AutoPilot,1,,local,1.0,,stable,2020-02-04T05:27:01,0.7,,543165787,AssertionError: config.fold must be 0 when running AutoPilot! Value: 1,,,
openml.org/t/14965,bank-marketing,AutoPilot,2,,local,1.0,,stable,2020-02-04T05:27:02,0.6,,543165788,AssertionError: config.fold must be 0 when running AutoPilot! Value: 2,,,
openml.org/t/14965,bank-marketing,AutoPilot,3,,local,1.0,,stable,2020-02-04T05:27:02,0.7,,543165789,AssertionError: config.fold must be 0 when running AutoPilot! Value: 3,,,
openml.org/t/14965,bank-marketing,AutoPilot,4,,local,1.0,,stable,2020-02-04T05:27:03,0.6,,543165790,AssertionError: config.fold must be 0 when running AutoPilot! Value: 4,,,
openml.org/t/14965,bank-marketing,AutoPilot,5,,local,1.0,,stable,2020-02-04T05:27:04,0.7,,543165791,AssertionError: config.fold must be 0 when running AutoPilot! Value: 5,,,
openml.org/t/14965,bank-marketing,AutoPilot,6,,local,1.0,,stable,2020-02-04T05:27:04,0.6,,543165792,AssertionError: config.fold must be 0 when running AutoPilot! Value: 6,,,
openml.org/t/14965,bank-marketing,AutoPilot,7,,local,1.0,,stable,2020-02-04T05:27:05,0.7,,543165793,AssertionError: config.fold must be 0 when running AutoPilot! Value: 7,,,
openml.org/t/14965,bank-marketing,AutoPilot,8,,local,1.0,,stable,2020-02-04T05:27:05,0.6,,543165794,AssertionError: config.fold must be 0 when running AutoPilot! Value: 8,,,
openml.org/t/14965,bank-marketing,AutoPilot,9,,local,1.0,,stable,2020-02-04T05:27:06,0.7,,543165795,AssertionError: config.fold must be 0 when running AutoPilot! Value: 9,,,
openml.org/t/10101,blood-transfusion,AutoPilot,0,,local,1.0,,stable,2020-02-04T03:11:06,242.0,,1819093302,AssertionError: Could not complete the data builder processing job. The AutoML Job cannot continue. Failed Job Arn: arn:aws:sagemaker:us-east-1:397262719838:processing-job/db-1-8ef60b742e214bf1b0b8...,,,
openml.org/t/10101,blood-transfusion,AutoPilot,1,,local,1.0,,stable,2020-02-04T03:11:06,0.0,,1819093303,AssertionError: config.fold must be 0 when running AutoPilot! Value: 1,,,
openml.org/t/10101,blood-transfusion,AutoPilot,2,,local,1.0,,stable,2020-02-04T03:11:06,0.0,,1819093304,AssertionError: config.fold must be 0 when running AutoPilot! Value: 2,,,
openml.org/t/10101,blood-transfusion,AutoPilot,3,,local,1.0,,stable,2020-02-04T03:11:06,0.0,,1819093305,AssertionError: config.fold must be 0 when running AutoPilot! Value: 3,,,
openml.org/t/10101,blood-transfusion,AutoPilot,4,,local,1.0,,stable,2020-02-04T03:11:06,0.0,,1819093306,AssertionError: config.fold must be 0 when running AutoPilot! Value: 4,,,
openml.org/t/10101,blood-transfusion,AutoPilot,5,,local,1.0,,stable,2020-02-04T03:11:06,0.0,,1819093307,AssertionError: config.fold must be 0 when running AutoPilot! Value: 5,,,
openml.org/t/10101,blood-transfusion,AutoPilot,6,,local,1.0,,stable,2020-02-04T03:11:06,0.0,,1819093308,AssertionError: config.fold must be 0 when running AutoPilot! Value: 6,,,
openml.org/t/10101,blood-transfusion,AutoPilot,7,,local,1.0,,stable,2020-02-04T03:11:06,0.0,,1819093309,AssertionError: config.fold must be 0 when running AutoPilot! Value: 7,,,
openml.org/t/10101,blood-transfusion,AutoPilot,8,,local,1.0,,stable,2020-02-04T03:11:06,0.0,,1819093310,AssertionError: config.fold must be 0 when running AutoPilot! Value: 8,,,
openml.org/t/10101,blood-transfusion,AutoPilot,9,,local,1.0,,stable,2020-02-04T03:11:06,0.0,,1819093311,AssertionError: config.fold must be 0 when running AutoPilot! Value: 9,,,
openml.org/t/146821,car,AutoPilot,0,0.9942200000000001,local,1.0,,stable,2020-02-04T04:16:51,3666.7,10.0,2164109378,,0.9942200000000001,1.0,270.54900000000004
openml.org/t/146821,car,AutoPilot,1,,local,1.0,,stable,2020-02-04T04:16:51,0.1,,2164109379,AssertionError: config.fold must be 0 when running AutoPilot! Value: 1,,,
openml.org/t/146821,car,AutoPilot,2,,local,1.0,,stable,2020-02-04T04:16:51,0.1,,2164109380,AssertionError: config.fold must be 0 when running AutoPilot! Value: 2,,,
openml.org/t/146821,car,AutoPilot,3,,local,1.0,,stable,2020-02-04T04:16:51,0.1,,2164109381,AssertionError: config.fold must be 0 when running AutoPilot! Value: 3,,,
openml.org/t/146821,car,AutoPilot,4,,local,1.0,,stable,2020-02-04T04:16:52,0.1,,2164109382,AssertionError: config.fold must be 0 when running AutoPilot! Value: 4,,,
openml.org/t/146821,car,AutoPilot,5,,local,1.0,,stable,2020-02-04T04:16:52,0.1,,2164109383,AssertionError: config.fold must be 0 when running AutoPilot! Value: 5,,,
openml.org/t/146821,car,AutoPilot,6,,local,1.0,,stable,2020-02-04T04:16:52,0.1,,2164109384,AssertionError: config.fold must be 0 when running AutoPilot! Value: 6,,,
openml.org/t/146821,car,AutoPilot,7,,local,1.0,,stable,2020-02-04T04:16:52,0.1,,2164109385,AssertionError: config.fold must be 0 when running AutoPilot! Value: 7,,,
openml.org/t/146821,car,AutoPilot,8,,local,1.0,,stable,2020-02-04T04:16:52,0.1,,2164109386,AssertionError: config.fold must be 0 when running AutoPilot! Value: 8,,,
openml.org/t/146821,car,AutoPilot,9,,local,1.0,,stable,2020-02-04T04:16:52,0.1,,2164109387,AssertionError: config.fold must be 0 when running AutoPilot! Value: 9,,,
openml.org/t/168908,christine,AutoPilot,0,0.738007,local,1.0,,stable,2020-02-04T04:09:27,3676.6,10.0,874638613,,0.738007,1.0,271.567
openml.org/t/168908,christine,AutoPilot,1,,local,1.0,,stable,2020-02-04T04:09:52,25.0,,874638614,AssertionError: config.fold must be 0 when running AutoPilot! Value: 1,,,
openml.org/t/168908,christine,AutoPilot,2,,local,1.0,,stable,2020-02-04T04:10:17,24.8,,874638615,AssertionError: config.fold must be 0 when running AutoPilot! Value: 2,,,
openml.org/t/168908,christine,AutoPilot,3,,local,1.0,,stable,2020-02-04T04:10:42,24.8,,874638616,AssertionError: config.fold must be 0 when running AutoPilot! Value: 3,,,
openml.org/t/168908,christine,AutoPilot,4,,local,1.0,,stable,2020-02-04T04:11:07,24.9,,874638617,AssertionError: config.fold must be 0 when running AutoPilot! Value: 4,,,
openml.org/t/168908,christine,AutoPilot,5,,local,1.0,,stable,2020-02-04T04:11:32,24.8,,874638618,AssertionError: config.fold must be 0 when running AutoPilot! Value: 5,,,
openml.org/t/168908,christine,AutoPilot,6,,local,1.0,,stable,2020-02-04T04:11:56,24.6,,874638619,AssertionError: config.fold must be 0 when running AutoPilot! Value: 6,,,
openml.org/t/168908,christine,AutoPilot,7,,local,1.0,,stable,2020-02-04T04:12:21,24.5,,874638620,AssertionError: config.fold must be 0 when running AutoPilot! Value: 7,,,
openml.org/t/168908,christine,AutoPilot,8,,local,1.0,,stable,2020-02-04T04:12:45,24.6,,874638621,AssertionError: config.fold must be 0 when running AutoPilot! Value: 8,,,
openml.org/t/168908,christine,AutoPilot,9,,local,1.0,,stable,2020-02-04T04:13:10,24.7,,874638622,AssertionError: config.fold must be 0 when running AutoPilot! Value: 9,,,
openml.org/t/9981,cnae-9,AutoPilot,0,,local,1.0,,stable,2020-02-04T04:21:04,248.0,,1922458079,AssertionError: Could not complete the data builder processing job. The AutoML Job cannot continue. Failed Job Arn: arn:aws:sagemaker:us-east-1:397262719838:processing-job/db-1-a7d1f1df4cb5455a9150...,,,
openml.org/t/9981,cnae-9,AutoPilot,1,,local,1.0,,stable,2020-02-04T04:21:05,1.3,,1922458080,AssertionError: config.fold must be 0 when running AutoPilot! Value: 1,,,
openml.org/t/9981,cnae-9,AutoPilot,2,,local,1.0,,stable,2020-02-04T04:21:07,1.3,,1922458081,AssertionError: config.fold must be 0 when running AutoPilot! Value: 2,,,
openml.org/t/9981,cnae-9,AutoPilot,3,,local,1.0,,stable,2020-02-04T04:21:08,1.3,,1922458082,AssertionError: config.fold must be 0 when running AutoPilot! Value: 3,,,
openml.org/t/9981,cnae-9,AutoPilot,4,,local,1.0,,stable,2020-02-04T04:21:09,1.3,,1922458083,AssertionError: config.fold must be 0 when running AutoPilot! Value: 4,,,
